order_id,customer_id,order_date,order_status,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,payment_method,order_source,billing_country
ORD-000039,CUST-00040,2023-04-12,cancelled,64,0,14,5.12,83.12,bank_transfer,email_campaign,DE
ORD-000040,CUST-00041,2023-11-13,completed,65,6.5,5,5.2,68.7,credit_card,direct_traffic,FR
ORD-000041,CUST-00042,2024-12-14,completed,66,0,6,5.28,77.28,paypal,affiliate,AU
ORD-000042,CUST-00043,2023-10-15,completed,67,0,7,5.36,79.36,apple_pay,organic_search,US
ORD-000043,CUST-00044,2024-11-16,completed,68,0,8,5.44,81.44,google_pay,paid_search,CA
ORD-000044,CUST-00045,2024-09-17,completed,69,0,9,5.52,83.52,bank_transfer,social_media,UK
ORD-000045,CUST-00046,2023-01-18,completed,70,7,10,5.6,78.6,credit_card,email_campaign,DE
ORD-000046,CUST-00047,2024-02-19,completed,71,0,11,5.68,87.68,paypal,direct_traffic,FR
ORD-000047,CUST-00048,2023-03-20,completed,72,0,12,5.76,89.76,apple_pay,affiliate,AU
ORD-000048,CUST-00049,2024-04-21,completed,73,0,13,5.84,91.84,google_pay,organic_search,US
ORD-000049,CUST-00050,2023-05-22,completed,74,0,14,5.92,93.92,bank_transfer,paid_search,CA
ORD-000050,CUST-00051,2023-12-23,completed,75,7.5,5,6,78.5,credit_card,social_media,UK
ORD-000051,CUST-00052,2024-10-24,completed,76,0,0,6.08,82.08,paypal,email_campaign,DE
ORD-000052,CUST-00053,2023-11-25,completed,77,0,0,6.16,83.16,apple_pay,direct_traffic,FR
ORD-000053,CUST-00054,2024-12-26,completed,78,0,0,6.24,84.24,google_pay,affiliate,AU
ORD-000054,CUST-00055,2024-01-27,completed,79,0,0,6.32,85.32,bank_transfer,organic_search,US
ORD-000055,CUST-00056,2023-02-28,completed,80,8,0,6.4,78.4,credit_card,paid_search,CA
ORD-000056,CUST-00057,2024-03-01,shipped,81,0,0,6.48,87.48,paypal,social_media,UK
ORD-000057,CUST-00058,2023-04-02,shipped,82,0,0,6.56,88.56,apple_pay,email_campaign,DE
ORD-000058,CUST-00059,2024-05-03,processing,83,0,0,6.64,89.64,google_pay,direct_traffic,FR
ORD-000059,CUST-00060,2023-06-04,cancelled,84,0,0,6.72,90.72,bank_transfer,affiliate,AU
ORD-000060,CUST-00061,2023-10-05,completed,85,8.5,0,6.8,83.3,credit_card,organic_search,US
ORD-000061,CUST-00062,2024-11-06,completed,86,0,0,6.88,92.88,paypal,paid_search,CA
ORD-000062,CUST-00063,2023-12-07,completed,87,0,0,6.96,93.96,apple_pay,social_media,UK
ORD-000063,CUST-00064,2024-10-08,completed,88,0,0,7.04,95.04,google_pay,email_campaign,DE
ORD-000064,CUST-00065,2024-02-09,completed,89,0,0,7.12,96.12,bank_transfer,direct_traffic,FR
ORD-000065,CUST-00066,2023-03-10,completed,90,9,0,7.2,88.2,credit_card,affiliate,AU
ORD-000066,CUST-00067,2024-04-11,completed,91,0,0,7.28,98.28,paypal,organic_search,US
ORD-000067,CUST-00068,2023-05-12,completed,92,0,0,7.36,99.36,apple_pay,paid_search,CA
ORD-000068,CUST-00069,2024-06-13,completed,93,0,0,7.44,100.44,google_pay,social_media,UK
ORD-000069,CUST-00070,2023-07-14,completed,94,0,0,7.52,101.52,bank_transfer,email_campaign,DE
ORD-000070,CUST-00071,2023-11-15,completed,95,9.5,0,7.6,93.1,credit_card,direct_traffic,FR
ORD-000071,CUST-00072,2024-12-16,completed,96,0,0,7.68,103.68,paypal,affiliate,AU
ORD-000072,CUST-00073,2023-10-17,completed,97,0,0,7.76,104.76,apple_pay,organic_search,US
ORD-000073,CUST-00074,2024-11-18,completed,98,0,0,7.84,105.84,google_pay,paid_search,CA
ORD-000074,CUST-00075,2024-03-19,completed,99,0,0,7.92,106.92,bank_transfer,social_media,UK
ORD-000075,CUST-00076,2023-04-20,completed,100,10,0,8,98,credit_card,email_campaign,DE
ORD-000076,CUST-00077,2024-05-21,shipped,101,0,0,8.08,109.08,paypal,direct_traffic,FR
ORD-000077,CUST-00078,2023-06-22,shipped,102,0,0,8.16,110.16,apple_pay,affiliate,AU
ORD-000078,CUST-00079,2024-07-23,processing,103,0,0,8.24,111.24,google_pay,organic_search,US
ORD-000079,CUST-00080,2023-08-24,cancelled,104,0,0,8.32,112.32,bank_transfer,paid_search,CA
ORD-000080,CUST-00081,2023-12-25,completed,105,10.5,0,8.4,102.9,credit_card,social_media,UK
ORD-000081,CUST-00082,2024-10-26,completed,106,0,0,8.48,114.48,paypal,email_campaign,DE
ORD-000082,CUST-00083,2023-11-27,completed,107,0,0,8.56,115.56,apple_pay,direct_traffic,FR
ORD-000083,CUST-00084,2024-12-28,completed,108,0,0,8.64,116.64,google_pay,affiliate,AU
ORD-000084,CUST-00085,2024-04-01,completed,109,0,0,8.72,117.72,bank_transfer,organic_search,US
ORD-000085,CUST-00086,2023-05-02,completed,110,11,0,8.8,107.8,credit_card,paid_search,CA
ORD-000086,CUST-00087,2024-06-03,completed,111,0,0,8.88,119.88,paypal,social_media,UK
ORD-000087,CUST-00088,2023-07-04,completed,112,0,0,8.96,120.96,apple_pay,email_campaign,DE
ORD-000088,CUST-00089,2024-08-05,completed,113,0,0,9.04,122.04,google_pay,direct_traffic,FR
ORD-000089,CUST-00090,2023-09-06,completed,114,0,0,9.12,123.12,bank_transfer,affiliate,AU
ORD-000090,CUST-00091,2023-10-07,completed,115,11.5,0,9.2,112.7,credit_card,organic_search,US
ORD-000091,CUST-00092,2024-11-08,completed,116,0,0,9.28,125.28,paypal,paid_search,CA
ORD-000092,CUST-00093,2023-12-09,completed,117,0,0,9.36,126.36,apple_pay,social_media,UK
ORD-000093,CUST-00094,2024-10-10,completed,118,0,0,9.44,127.44,google_pay,email_campaign,DE
ORD-000094,CUST-00095,2024-05-11,completed,119,0,0,9.52,128.52,bank_transfer,direct_traffic,FR
ORD-000095,CUST-00096,2023-06-12,completed,120,12,0,9.6,117.6,credit_card,affiliate,AU
ORD-000096,CUST-00097,2024-07-13,shipped,121,0,0,9.68,130.68,paypal,organic_search,US
ORD-000097,CUST-00098,2023-08-14,shipped,122,0,0,9.76,131.76,apple_pay,paid_search,CA
ORD-000098,CUST-00099,2024-09-15,processing,123,0,0,9.84,132.84,google_pay,social_media,UK
ORD-000099,CUST-00100,2023-01-16,cancelled,124,0,0,9.92,133.92,bank_transfer,email_campaign,DE
ORD-000100,CUST-00101,2023-11-17,completed,125,12.5,0,10,122.5,credit_card,direct_traffic,FR
ORD-000101,CUST-00102,2024-12-18,completed,126,0,0,10.08,136.08,paypal,affiliate,AU
ORD-000102,CUST-00103,2023-10-19,completed,127,0,0,10.16,137.16,apple_pay,organic_search,US
ORD-000103,CUST-00104,2024-11-20,completed,128,0,0,10.24,138.24,google_pay,paid_search,CA
ORD-000104,CUST-00105,2024-06-21,completed,129,0,0,10.32,139.32,bank_transfer,social_media,UK
ORD-000105,CUST-00106,2023-07-22,completed,130,13,0,10.4,127.4,credit_card,email_campaign,DE
ORD-000106,CUST-00107,2024-08-23,completed,131,0,0,10.48,141.48,paypal,direct_traffic,FR
ORD-000107,CUST-00108,2023-09-24,completed,132,0,0,10.56,142.56,apple_pay,affiliate,AU
ORD-000108,CUST-00109,2024-01-25,completed,133,0,0,10.64,143.64,google_pay,organic_search,US
ORD-000109,CUST-00110,2023-02-26,completed,134,0,0,10.72,144.72,bank_transfer,paid_search,CA
ORD-000110,CUST-00111,2023-12-27,completed,135,13.5,0,10.8,132.3,credit_card,social_media,UK
ORD-000111,CUST-00112,2024-10-28,completed,136,0,0,10.88,146.88,paypal,email_campaign,DE
ORD-000112,CUST-00113,2023-11-01,completed,137,0,0,10.96,147.96,apple_pay,direct_traffic,FR
ORD-000113,CUST-00114,2024-12-02,completed,138,0,0,11.04,149.04,google_pay,affiliate,AU
ORD-000114,CUST-00115,2024-07-03,completed,139,0,0,11.12,150.12,bank_transfer,organic_search,US
ORD-000115,CUST-00116,2023-08-04,completed,140,14,0,11.2,137.2,credit_card,paid_search,CA
ORD-000116,CUST-00117,2024-09-05,shipped,141,0,0,11.28,152.28,paypal,social_media,UK
ORD-000117,CUST-00118,2023-01-06,shipped,142,0,0,11.36,153.36,apple_pay,email_campaign,DE
ORD-000118,CUST-00119,2024-02-07,processing,143,0,0,11.44,154.44,google_pay,direct_traffic,FR
ORD-000119,CUST-00120,2023-03-08,cancelled,144,0,0,11.52,155.52,bank_transfer,affiliate,AU
ORD-000120,CUST-00121,2023-10-09,completed,145,14.5,0,11.6,142.1,credit_card,organic_search,US
ORD-000121,CUST-00122,2024-11-10,completed,146,0,0,11.68,157.68,paypal,paid_search,CA
ORD-000122,CUST-00123,2023-12-11,completed,147,0,0,11.76,158.76,apple_pay,social_media,UK
ORD-000123,CUST-00124,2024-10-12,completed,148,0,0,11.84,159.84,google_pay,email_campaign,DE
ORD-000124,CUST-00125,2024-08-13,completed,149,0,0,11.92,160.92,bank_transfer,direct_traffic,FR
ORD-000125,CUST-00126,2023-09-14,completed,150,15,0,12,147,credit_card,affiliate,AU
ORD-000126,CUST-00127,2024-01-15,completed,151,0,0,12.08,163.08,paypal,organic_search,US
ORD-000127,CUST-00128,2023-02-16,completed,152,0,0,12.16,164.16,apple_pay,paid_search,CA
ORD-000128,CUST-00129,2024-03-17,completed,153,0,0,12.24,165.24,google_pay,social_media,UK
ORD-000129,CUST-00130,2023-04-18,completed,154,0,0,12.32,166.32,bank_transfer,email_campaign,DE
ORD-000130,CUST-00131,2023-11-19,completed,155,15.5,0,12.4,151.9,credit_card,direct_traffic,FR
ORD-000131,CUST-00132,2024-12-20,completed,156,0,0,12.48,168.48,paypal,affiliate,AU
ORD-000132,CUST-00133,2023-10-21,completed,157,0,0,12.56,169.56,apple_pay,organic_search,US
ORD-000133,CUST-00134,2024-11-22,completed,158,0,0,12.64,170.64,google_pay,paid_search,CA
ORD-000134,CUST-00135,2024-09-23,completed,159,0,0,12.72,171.72,bank_transfer,social_media,UK
ORD-000135,CUST-00136,2023-01-24,completed,160,16,0,12.8,156.8,credit_card,email_campaign,DE
ORD-000136,CUST-00137,2024-02-25,shipped,161,0,0,12.88,173.88,paypal,direct_traffic,FR
ORD-000137,CUST-00138,2023-03-26,shipped,162,0,0,12.96,174.96,apple_pay,affiliate,AU
ORD-000138,CUST-00139,2024-04-27,processing,163,0,0,13.04,176.04,google_pay,organic_search,US
ORD-000139,CUST-00140,2023-05-28,cancelled,164,0,0,13.12,177.12,bank_transfer,paid_search,CA
ORD-000140,CUST-00141,2023-12-01,completed,165,16.5,0,13.2,161.7,credit_card,social_media,UK
ORD-000141,CUST-00142,2024-10-02,completed,166,0,0,13.28,179.28,paypal,email_campaign,DE
ORD-000142,CUST-00143,2023-11-03,completed,167,0,0,13.36,180.36,apple_pay,direct_traffic,FR
ORD-000143,CUST-00144,2024-12-04,completed,168,0,0,13.44,181.44,google_pay,affiliate,AU
ORD-000144,CUST-00145,2024-01-05,completed,169,0,0,13.52,182.52,bank_transfer,organic_search,US
ORD-000145,CUST-00146,2023-02-06,completed,170,17,0,13.6,166.6,credit_card,paid_search,CA
ORD-000146,CUST-00147,2024-03-07,completed,171,0,0,13.68,184.68,paypal,social_media,UK
ORD-000147,CUST-00148,2023-04-08,completed,172,0,0,13.76,185.76,apple_pay,email_campaign,DE
ORD-000148,CUST-00149,2024-05-09,completed,173,0,0,13.84,186.84,google_pay,direct_traffic,FR
ORD-000149,CUST-00150,2023-06-10,completed,174,0,0,13.92,187.92,bank_transfer,affiliate,AU
ORD-000150,CUST-00151,2023-10-11,completed,175,17.5,0,14,171.5,credit_card,organic_search,US
ORD-000151,CUST-00152,2024-11-12,completed,176,0,0,14.08,190.08,paypal,paid_search,CA
ORD-000152,CUST-00153,2023-12-13,completed,177,0,0,14.16,191.16,apple_pay,social_media,UK
ORD-000153,CUST-00154,2024-10-14,completed,178,0,0,14.24,192.24,google_pay,email_campaign,DE
ORD-000154,CUST-00155,2024-02-15,completed,179,0,0,14.32,193.32,bank_transfer,direct_traffic,FR
ORD-000155,CUST-00156,2023-03-16,completed,180,18,0,14.4,176.4,credit_card,affiliate,AU
ORD-000156,CUST-00157,2024-04-17,shipped,181,0,0,14.48,195.48,paypal,organic_search,US
ORD-000157,CUST-00158,2023-05-18,shipped,182,0,0,14.56,196.56,apple_pay,paid_search,CA
ORD-000158,CUST-00159,2024-06-19,processing,183,0,0,14.64,197.64,google_pay,social_media,UK
ORD-000159,CUST-00160,2023-07-20,cancelled,184,0,0,14.72,198.72,bank_transfer,email_campaign,DE
ORD-000160,CUST-00161,2023-11-21,completed,185,18.5,0,14.8,181.3,credit_card,direct_traffic,FR
ORD-000161,CUST-00162,2024-12-22,completed,186,0,0,14.88,200.88,paypal,affiliate,AU
ORD-000162,CUST-00163,2023-10-23,completed,187,0,0,14.96,201.96,apple_pay,organic_search,US
ORD-000163,CUST-00164,2024-11-24,completed,188,0,0,15.04,203.04,google_pay,paid_search,CA
ORD-000164,CUST-00165,2024-03-25,completed,189,0,0,15.12,204.12,bank_transfer,social_media,UK
ORD-000165,CUST-00166,2023-04-26,completed,190,19,0,15.2,186.2,credit_card,email_campaign,DE
ORD-000166,CUST-00167,2024-05-27,completed,191,0,0,15.28,206.28,paypal,direct_traffic,FR
ORD-000167,CUST-00168,2023-06-28,completed,192,0,0,15.36,207.36,apple_pay,affiliate,AU
ORD-000168,CUST-00169,2024-07-01,completed,193,0,0,15.44,208.44,google_pay,organic_search,US
ORD-000169,CUST-00170,2023-08-02,completed,194,0,0,15.52,209.52,bank_transfer,paid_search,CA
ORD-000170,CUST-00171,2023-12-03,completed,195,19.5,0,15.6,191.1,credit_card,social_media,UK
ORD-000171,CUST-00172,2024-10-04,completed,196,0,0,15.68,211.68,paypal,email_campaign,DE
ORD-000172,CUST-00173,2023-11-05,completed,197,0,0,15.76,212.76,apple_pay,direct_traffic,FR
ORD-000173,CUST-00174,2024-12-06,completed,198,0,0,15.84,213.84,google_pay,affiliate,AU
ORD-000174,CUST-00175,2024-04-07,completed,199,0,0,15.92,214.92,bank_transfer,organic_search,US
ORD-000175,CUST-00176,2023-05-08,completed,200,20,0,16,196,credit_card,paid_search,CA
ORD-000176,CUST-00177,2024-06-09,shipped,201,0,0,16.08,217.08,paypal,social_media,UK
ORD-000177,CUST-00178,2023-07-10,shipped,202,0,0,16.16,218.16,apple_pay,email_campaign,DE
ORD-000178,CUST-00179,2024-08-11,processing,203,0,0,16.24,219.24,google_pay,direct_traffic,FR
ORD-000179,CUST-00180,2023-09-12,cancelled,204,0,0,16.32,220.32,bank_transfer,affiliate,AU
ORD-000180,CUST-00181,2023-10-13,completed,205,20.5,0,16.4,200.9,credit_card,organic_search,US
ORD-000181,CUST-00182,2024-11-14,completed,206,0,0,16.48,222.48,paypal,paid_search,CA
ORD-000182,CUST-00183,2023-12-15,completed,207,0,0,16.56,223.56,apple_pay,social_media,UK
ORD-000183,CUST-00184,2024-10-16,completed,208,0,0,16.64,224.64,google_pay,email_campaign,DE
ORD-000184,CUST-00185,2024-05-17,completed,209,0,0,16.72,225.72,bank_transfer,direct_traffic,FR
ORD-000185,CUST-00186,2023-06-18,completed,210,21,0,16.8,205.8,credit_card,affiliate,AU
ORD-000186,CUST-00187,2024-07-19,completed,211,0,0,16.88,227.88,paypal,organic_search,US
ORD-000187,CUST-00188,2023-08-20,completed,212,0,0,16.96,228.96,apple_pay,paid_search,CA
ORD-000188,CUST-00189,2024-09-21,completed,213,0,0,17.04,230.04,google_pay,social_media,UK
ORD-000189,CUST-00190,2023-01-22,completed,214,0,0,17.12,231.12,bank_transfer,email_campaign,DE
ORD-000190,CUST-00191,2023-11-23,completed,215,21.5,0,17.2,210.7,credit_card,direct_traffic,FR
ORD-000191,CUST-00192,2024-12-24,completed,216,0,0,17.28,233.28,paypal,affiliate,AU
ORD-000192,CUST-00193,2023-10-25,completed,217,0,0,17.36,234.36,apple_pay,organic_search,US
ORD-000193,CUST-00194,2024-11-26,completed,218,0,0,17.44,235.44,google_pay,paid_search,CA
ORD-000194,CUST-00195,2024-06-27,completed,219,0,0,17.52,236.52,bank_transfer,social_media,UK
ORD-000195,CUST-00196,2023-07-28,completed,220,22,0,17.6,215.6,credit_card,email_campaign,DE
ORD-000196,CUST-00197,2024-08-01,shipped,221,0,0,17.68,238.68,paypal,direct_traffic,FR
ORD-000197,CUST-00198,2023-09-02,shipped,222,0,0,17.76,239.76,apple_pay,affiliate,AU
ORD-000198,CUST-00199,2024-01-03,processing,223,0,0,17.84,240.84,google_pay,organic_search,US
ORD-000199,CUST-00200,2023-02-04,cancelled,224,0,0,17.92,241.92,bank_transfer,paid_search,CA
ORD-000200,CUST-00201,2023-12-05,completed,225,22.5,0,18,220.5,credit_card,social_media,UK
ORD-000201,CUST-00202,2024-10-06,completed,226,0,0,18.08,244.08,paypal,email_campaign,DE
ORD-000202,CUST-00203,2023-11-07,completed,227,0,0,18.16,245.16,apple_pay,direct_traffic,FR
ORD-000203,CUST-00204,2024-12-08,completed,228,0,0,18.24,246.24,google_pay,affiliate,AU
ORD-000204,CUST-00205,2024-07-09,completed,229,0,0,18.32,247.32,bank_transfer,organic_search,US
ORD-000205,CUST-00206,2023-08-10,completed,230,23,0,18.4,225.4,credit_card,paid_search,CA
ORD-000206,CUST-00207,2024-09-11,completed,231,0,0,18.48,249.48,paypal,social_media,UK
ORD-000207,CUST-00208,2023-01-12,completed,232,0,0,18.56,250.56,apple_pay,email_campaign,DE
ORD-000208,CUST-00209,2024-02-13,completed,233,0,0,18.64,251.64,google_pay,direct_traffic,FR
ORD-000209,CUST-00210,2023-03-14,completed,234,0,0,18.72,252.72,bank_transfer,affiliate,AU
ORD-000210,CUST-00211,2023-10-15,completed,235,23.5,0,18.8,230.3,credit_card,organic_search,US
ORD-000211,CUST-00212,2024-11-16,completed,236,0,0,18.88,254.88,paypal,paid_search,CA
ORD-000212,CUST-00213,2023-12-17,completed,237,0,0,18.96,255.96,apple_pay,social_media,UK
ORD-000213,CUST-00214,2024-10-18,completed,238,0,0,19.04,257.04,google_pay,email_campaign,DE
ORD-000214,CUST-00215,2024-08-19,completed,239,0,0,19.12,258.12,bank_transfer,direct_traffic,FR
ORD-000215,CUST-00216,2023-09-20,completed,240,24,0,19.2,235.2,credit_card,affiliate,AU
ORD-000216,CUST-00217,2024-01-21,shipped,241,0,0,19.28,260.28,paypal,organic_search,US
ORD-000217,CUST-00218,2023-02-22,shipped,242,0,0,19.36,261.36,apple_pay,paid_search,CA
ORD-000218,CUST-00219,2024-03-23,processing,243,0,0,19.44,262.44,google_pay,social_media,UK
ORD-000219,CUST-00220,2023-04-24,cancelled,244,0,0,19.52,263.52,bank_transfer,email_campaign,DE
ORD-000220,CUST-00221,2023-11-25,completed,245,24.5,0,19.6,240.1,credit_card,direct_traffic,FR
ORD-000221,CUST-00222,2024-12-26,completed,246,0,0,19.68,265.68,paypal,affiliate,AU
ORD-000222,CUST-00223,2023-10-27,completed,247,0,0,19.76,266.76,apple_pay,organic_search,US
ORD-000223,CUST-00224,2024-11-28,completed,248,0,0,19.84,267.84,google_pay,paid_search,CA
ORD-000224,CUST-00225,2024-09-01,completed,249,0,0,19.92,268.92,bank_transfer,social_media,UK
ORD-000225,CUST-00226,2023-01-02,completed,250,25,0,20,245,credit_card,email_campaign,DE
ORD-000226,CUST-00227,2024-02-03,completed,251,0,0,20.08,271.08,paypal,direct_traffic,FR
ORD-000227,CUST-00228,2023-03-04,completed,252,0,0,20.16,272.16,apple_pay,affiliate,AU
ORD-000228,CUST-00229,2024-04-05,completed,253,0,0,20.24,273.24,google_pay,organic_search,US
ORD-000229,CUST-00230,2023-05-06,completed,254,0,0,20.32,274.32,bank_transfer,paid_search,CA
ORD-000230,CUST-00231,2023-12-07,completed,255,25.5,0,20.4,249.9,credit_card,social_media,UK
ORD-000231,CUST-00232,2024-10-08,completed,256,0,0,20.48,276.48,paypal,email_campaign,DE
ORD-000232,CUST-00233,2023-11-09,completed,257,0,0,20.56,277.56,apple_pay,direct_traffic,FR
ORD-000233,CUST-00234,2024-12-10,completed,258,0,0,20.64,278.64,google_pay,affiliate,AU
ORD-000234,CUST-00235,2024-01-11,completed,259,0,0,20.72,279.72,bank_transfer,organic_search,US
ORD-000235,CUST-00236,2023-02-12,completed,260,26,0,20.8,254.8,credit_card,paid_search,CA
ORD-000236,CUST-00237,2024-03-13,shipped,261,0,0,20.88,281.88,paypal,social_media,UK
ORD-000237,CUST-00238,2023-04-14,shipped,262,0,0,20.96,282.96,apple_pay,email_campaign,DE
ORD-000238,CUST-00239,2024-05-15,processing,263,0,0,21.04,284.04,google_pay,direct_traffic,FR
ORD-000239,CUST-00240,2023-06-16,cancelled,264,0,0,21.12,285.12,bank_transfer,affiliate,AU
ORD-000240,CUST-00241,2023-10-17,completed,265,26.5,0,21.2,259.7,credit_card,organic_search,US
ORD-000241,CUST-00242,2024-11-18,completed,266,0,0,21.28,287.28,paypal,paid_search,CA
ORD-000242,CUST-00243,2023-12-19,completed,267,0,0,21.36,288.36,apple_pay,social_media,UK
ORD-000243,CUST-00244,2024-10-20,completed,268,0,0,21.44,289.44,google_pay,email_campaign,DE
ORD-000244,CUST-00245,2024-02-21,completed,269,0,0,21.52,290.52,bank_transfer,direct_traffic,FR
ORD-000245,CUST-00246,2023-03-22,completed,270,27,0,21.6,264.6,credit_card,affiliate,AU
ORD-000246,CUST-00247,2024-04-23,completed,271,0,0,21.68,292.68,paypal,organic_search,US
ORD-000247,CUST-00248,2023-05-24,completed,272,0,0,21.76,293.76,apple_pay,paid_search,CA
ORD-000248,CUST-00249,2024-06-25,completed,273,0,0,21.84,294.84,google_pay,social_media,UK
ORD-000249,CUST-00250,2023-07-26,completed,274,0,0,21.92,295.92,bank_transfer,email_campaign,DE
ORD-000250,CUST-00251,2023-11-27,completed,275,27.5,0,22,269.5,credit_card,direct_traffic,FR
ORD-000251,CUST-00252,2024-12-28,completed,276,0,0,22.08,298.08,paypal,affiliate,AU
ORD-000252,CUST-00253,2023-10-01,completed,277,0,0,22.16,299.16,apple_pay,organic_search,US
ORD-000253,CUST-00254,2024-11-02,completed,278,0,0,22.24,300.24,google_pay,paid_search,CA
ORD-000254,CUST-00255,2024-03-03,completed,279,0,0,22.32,301.32,bank_transfer,social_media,UK
ORD-000255,CUST-00256,2023-04-04,completed,280,28,0,22.4,274.4,credit_card,email_campaign,DE
ORD-000256,CUST-00257,2024-05-05,shipped,281,0,0,22.48,303.48,paypal,direct_traffic,FR
ORD-000257,CUST-00258,2023-06-06,shipped,282,0,0,22.56,304.56,apple_pay,affiliate,AU
ORD-000258,CUST-00259,2024-07-07,processing,283,0,0,22.64,305.64,google_pay,organic_search,US
ORD-000259,CUST-00260,2023-08-08,cancelled,284,0,0,22.72,306.72,bank_transfer,paid_search,CA
ORD-000260,CUST-00261,2023-12-09,completed,285,28.5,0,22.8,279.3,credit_card,social_media,UK
ORD-000261,CUST-00262,2024-10-10,completed,286,0,0,22.88,308.88,paypal,email_campaign,DE
ORD-000262,CUST-00263,2023-11-11,completed,287,0,0,22.96,309.96,apple_pay,direct_traffic,FR
ORD-000263,CUST-00264,2024-12-12,completed,288,0,0,23.04,311.04,google_pay,affiliate,AU
ORD-000264,CUST-00265,2024-04-13,completed,289,0,0,23.12,312.12,bank_transfer,organic_search,US
ORD-000265,CUST-00266,2023-05-14,completed,290,29,0,23.2,284.2,credit_card,paid_search,CA
ORD-000266,CUST-00267,2024-06-15,completed,291,0,0,23.28,314.28,paypal,social_media,UK
ORD-000267,CUST-00268,2023-07-16,completed,292,0,0,23.36,315.36,apple_pay,email_campaign,DE
